Code,Weight,Halt
A034830,0.000265,0
A003030,0.000264,0
A145990,0.000262,0
A298040,0.000262,0
A017960,0.000261,0
A000400,0.00026,0
A020120,0.000259,0
A006390,0.000258,0
A005390,0.000257,0
A005180,0.000256,0
A003070,0.000255,0
A115390,0.000254,0
A093050,0.000252,0
A009160,0.000248,0
A102460,0.000248,0
A025860,0.000248,0
A068400,0.000244,0
A018250,0.000243,0
A002240,0.000242,0
A007690,0.000241,0
A161000,0.00024,0
A108670,0.000239,0
A030610,0.000239,0
A117580,0.000235,0
A027410,0.000235,0
A004430,0.000234,0
A007570,0.000234,0
A226320,0.00023,0
A138250,0.000229,1
A000370,0.000228,0
A082740,0.000227,0
A123890,0.000225,0
A012630,0.000224,0
A037270,0.000223,0
A357120,0.000221,0
A007660,0.000218,0
A008490,0.000217,0
A298690,0.000216,0
A092220,0.000211,0
A002320,0.000211,0
A126560,0.000211,0
A004890,0.000209,0
A060980,0.000208,0
A281820,0.000208,0
A094800,0.000208,0
A004690,0.000205,0
A026890,0.000205,0
A001510,0.000205,0
A139990,0.000205,0
A058650,0.000204,0
A071320,0.000203,0
A003220,0.000203,0
A001390,0.000203,0
A130660,0.000202,0
A003620,0.000202,1
A075580,0.000202,0
A138490,0.000201,0
A002310,0.000201,0
A016800,0.000199,0
A053210,0.000197,0
A000050,0.000196,0
A002990,0.000194,0
A271980,0.000194,0
A033240,0.000194,0
A005420,0.000193,0
A001780,0.000193,0
A037560,0.000192,0
A003300,0.00019,0
A009290,0.000188,0
A091810,0.000187,0
A002270,0.000187,0
A009410,0.000187,0
A081000,0.000187,0
A104700,0.000186,0
A088260,0.000186,0
A024720,0.000186,0
A016590,0.000185,0
A055490,0.000184,0
A339770,0.000183,0
A002020,0.000182,0
A011930,0.00018,0
A005950,0.000176,0
A077970,0.000175,0
A194370,0.000174,0
A000020,0.000174,0
A317400,0.000173,0
A001500,0.000171,0
A005500,0.00017,0
A001630,0.000167,0
A377190,0.000167,0
A072710,0.000167,0
A293480,0.000166,0
A004250,0.000166,0
A001520,0.000164,0
A122900,0.000163,0
A004700,0.000163,0
A084690,0.000163,0
A214330,0.000163,0
A095720,0.000162,0
A272550,0.000161,0
A002960,0.000161,0
A002030,0.00016,0
A001470,0.00016,0
A107590,0.000159,0
A002780,0.000158,0
A001200,0.000158,0
A031440,0.000157,0
A017940,0.000157,0
A084680,0.000157,0
A029530,0.000156,0
A016580,0.000154,0
A000480,0.000153,0
A013580,0.000153,0
A900140,0.000153,0
A003060,0.000153,0
A005960,0.000152,0
A004980,0.000151,0
A000140,0.000151,0
A006110,0.00015,0
A033920,0.00015,0
A019680,0.000149,0
A030210,0.000148,0
A077500,0.000147,0
A005810,0.000147,0
A001940,0.000146,0
A006490,0.000145,0
A213500,0.000145,0
A037710,0.000145,0
A306200,0.000144,0
A004090,0.000144,0
A006060,0.000144,0
A009680,0.000143,0
A007460,0.000142,0
A035510,0.000142,0
A011280,0.000142,0
A018470,0.000141,0
A033180,0.000141,0
A001360,0.000141,0
A001460,0.000139,0
A068290,0.000139,0
A003570,0.000139,0
A002390,0.000139,0
A079430,0.000138,0
A003920,0.000138,0
A003200,0.000138,0
A001130,0.000138,0
A000680,0.000137,0
A000490,0.000137,0
A044450,0.000136,0
A322000,0.000136,0
A058430,0.000136,0
A404990,0.000135,0
A096760,0.000134,0
A039570,0.000134,0
A006840,0.000134,0
A008350,0.000133,0
A007860,0.000132,0
A024090,0.000131,0
A004380,0.00013,0
A029460,0.000129,0
A016610,0.000129,0
A036530,0.000128,0
A003960,0.000128,0
A001070,0.000128,0
A136490,0.000128,0
A012610,0.000127,0
A009580,0.000126,0
A004560,0.000126,0
A002150,0.000125,0
A095570,0.000125,0
A092230,0.000125,0
A014160,0.000125,0
A025000,0.000125,0
A002810,0.000123,0
A002100,0.000122,0
A016450,0.000122,0
A002460,0.000121,0
A008060,0.000121,0
A001790,0.00012,0
A079980,0.00012,0
A002900,0.000119,0
A035150,0.000118,0
A234080,0.000118,0
A001270,0.000118,0
A070960,0.000118,0
A002710,0.000117,0
A000390,0.000117,0
A014280,0.000117,0
A093230,0.000116,0
A000540,0.000116,0
A007160,0.000116,0
A028100,0.000116,0
A003160,0.000115,0
A083420,0.000115,0
A010820,0.000115,0
A229640,0.000114,0
A101530,0.000114,0
A006740,0.000113,0
A015860,0.000113,0
A036580,0.000113,0
A102260,0.000112,0
A001570,0.000111,0
A005720,0.000111,0
A010690,0.000111,0
A011500,0.00011,0
A004830,0.00011,0
A100250,0.000109,0
A023450,0.000109,0
A011760,0.000108,0
A400760,0.000107,0
A128820,0.000107,0
A074610,0.000106,0
A002210,0.000106,0
A003120,0.000106,0
A004360,0.000105,0
A214390,0.000105,0
A013570,0.000104,0
A007210,0.000104,0
A090350,0.000104,0
A015360,0.000103,0
A000970,0.000102,0
A002620,0.000102,0
A009810,0.000101,0
A004710,0.000101,0
A014790,0.000101,0
A005680,0.000101,0
A009270,0.0001,0
A248170,0.000099,0
A267850,0.000099,0
A033530,0.000099,0
A015890,0.000098,0
A004970,0.000098,0
A001340,0.000097,0
A094280,0.000096,0
A023800,0.000095,0
A006220,0.000095,0
A001250,0.000095,0
A105840,0.000095,0
A092200,0.000093,0
A000430,0.000092,0
A001750,0.000092,0
A004960,0.000092,0
A200880,0.000091,0
A063160,0.00009,0
A069460,0.00009,0
A013360,0.00009,0
A078520,0.000089,0
A012800,0.000088,0
A008040,0.000088,0
A372910,0.000088,0
A103590,0.000087,0
A334890,0.000087,0
A009470,0.000086,0
A003560,0.000086,0
A168490,0.000086,0
A012030,0.000084,0
A102280,0.000084,0
A003830,0.000083,0
A002170,0.000082,0
A004140,0.000082,0
A244920,0.000082,0
A002450,0.000081,0
A267290,0.000081,0
A008700,0.000081,0
A007280,0.000081,0
A017900,0.000081,0
A396690,0.000081,0
A009070,0.000081,0
A006380,0.000078,0
A004310,0.000078,0
A308170,0.000077,0
A282690,0.000077,0
A000860,0.000077,0
A000180,0.000077,0
A015540,0.000077,1
A134380,0.000076,0
A000300,0.000076,0
A089470,0.000076,0
A002700,0.000076,0
A004080,0.000076,0
A210540,0.000076,0
A091090,0.000076,0
A032560,0.000076,0
A004540,0.000075,0
A000320,0.000075,0
A025820,0.000074,0
A000230,0.000074,0
A120030,0.000073,0
A014530,0.000073,0
A011150,0.000071,0
A007110,0.000071,0
A005010,0.000071,0
A011700,0.000071,0
A000700,0.000071,0
A071970,0.00007,0
A006340,0.00007,0
A004720,0.00007,0
A016880,0.00007,0
A006890,0.00007,0
A010040,0.00007,0
A003460,0.00007,0
A123690,0.00007,0
A003650,0.000069,0
A003780,0.000069,0
A100840,0.000069,0
A005430,0.000068,0
A017550,0.000068,0
A101140,0.000068,0
A008970,0.000068,0
A004150,0.000067,0
A000220,0.000067,0
A019440,0.000067,0
A017180,0.000067,0
A053690,0.000067,0
A002880,0.000066,0
A004060,0.000066,0
A009190,0.000065,0
A092440,0.000065,0
A024890,0.000065,0
A005740,0.000065,0
A003350,0.000064,0
A025750,0.000063,0
A034300,0.000063,0
A044820,0.000063,0
A002360,0.000063,0
A008260,0.000062,0
A003610,0.000062,0
A012690,0.000062,0
A014580,0.000062,0
A067830,0.000061,0
A047400,0.000061,0
A002630,0.000061,0
A005320,0.000061,0
A008110,0.000061,0
A007540,0.000061,0
A003480,0.000061,0
A000890,0.00006,0
A004440,0.00006,0
A034590,0.000059,0
A009460,0.000059,0
A008250,0.000059,0
A011810,0.000058,0
A006660,0.000058,0
A023000,0.000058,0
A152550,0.000058,0
A000520,0.000057,0
A016740,0.000057,0
A134790,0.000057,0
A012200,0.000057,1
A015230,0.000057,0
